date,time,temperature
"2023-08-17","10:18:45","513.3499999999999"
"2023-08-17","10:19:00","531.9030303030303"
"2023-08-17","10:19:15","543.1314285714285"
"2023-08-17","10:19:30","544.1323529411766"
"2023-08-17","10:19:45","544.4733333333334"
"2023-08-17","10:20:00","545.1757575757576"
"2023-08-17","10:20:15","545.1854166666664"
"2023-08-17","10:20:30","546.0486486486486"
"2023-08-17","10:20:45","543.6341463414636"
"2023-08-17","10:21:00","512.1176470588236"
"2023-08-17","10:21:15","487.65000000000003"
"2023-08-17","10:21:30","511.3500000000001"
"2023-08-17","10:21:45","537.9085714285715"
"2023-08-17","10:22:00","545.2666666666669"
"2023-08-17","10:22:15","546.2209302325584"
"2023-08-17","10:22:30","546.672222222222"
"2023-08-17","10:22:45","546.6972972972974"
"2023-08-17","10:23:00","547.0083333333333"
"2023-08-17","10:23:15","546.9214285714287"
"2023-08-17","10:23:30","544.0026315789476"
"2023-08-17","10:23:45","508.4194444444445"
"2023-08-17","10:24:00","487.67142857142863"
"2023-08-17","10:24:15","521.9499999999999"
"2023-08-17","10:24:30","534.588888888889"
"2023-08-17","10:24:45","543.227027027027"
"2023-08-17","10:25:00","543.5729729729729"
"2023-08-17","10:25:15","544.7097560975609"
"2023-08-17","10:25:30","545.3225806451613"
"2023-08-17","10:25:45","545.5749999999999"
"2023-08-17","10:26:00","545.6486486486488"
"2023-08-17","10:26:15","540.4567567567566"
"2023-08-17","10:26:30","505.4194444444447"
"2023-08-17","10:26:45","481.30000000000007"
"2023-08-17","10:27:00","516.6857142857142"
"2023-08-17","10:27:15","539.4833333333332"
"2023-08-17","10:27:30","545.0499999999998"
"2023-08-17","10:27:45","545.672222222222"
"2023-08-17","10:28:00","545.8444444444444"
"2023-08-17","10:28:15","546.4707317073173"
"2023-08-17","10:28:30","546.3843750000002"
"2023-08-17","10:28:45","546.5093023255814"
"2023-08-17","10:29:00","534.497619047619"
"2023-08-17","10:29:15","501.0727272727271"
"2023-08-17","10:29:30","482.45"
"2023-08-17","10:29:45","517.5799999999999"
"2023-08-17","10:30:00","537.8675675675678"
"2023-08-17","10:30:15","540.7600000000002"
"2023-08-17","10:30:30","542.3340909090911"
"2023-08-17","10:30:45","542.9499999999999"
"2023-08-17","10:31:00","543.3034482758619"
"2023-08-17","10:31:15","543.6257142857143"
"2023-08-17","10:31:30","543.5343750000002"
"2023-08-17","10:31:45","530.430303030303"
"2023-08-17","10:32:00","496.6571428571429"
"2023-08-17","10:32:30","523.9464285714286"
"2023-08-17","10:32:45","539.5307692307691"
"2023-08-17","10:33:00","541.6111111111109"
"2023-08-17","10:33:15","542.9210526315793"
"2023-08-17","10:33:30","543.2255813953489"
"2023-08-17","10:33:45","544.0256410256409"
"2023-08-17","10:34:00","544.2124999999999"
"2023-08-17","10:34:15","544.8885714285714"
"2023-08-17","10:34:30","528.8909090909091"
"2023-08-17","10:34:45","494.2378378378379"
"2023-08-17","10:35:15","526.2291666666669"
"2023-08-17","10:35:30","541.675"
"2023-08-17","10:35:45","543.9170731707317"
"2023-08-17","10:36:00","544.8114285714287"
"2023-08-17","10:36:15","544.9621621621624"
"2023-08-17","10:36:30","545.9142857142858"
"2023-08-17","10:36:45","545.7888888888889"
"2023-08-17","10:37:00","545.45625"
"2023-08-17","10:37:15","528.8681818181817"
