date,time,temperature,mainPressure,containerTempFront,containerTempBack,currentSpeed
2024-11-11,11:14:10,464.59999999999997,126.45555555555555,435,430,4
2024-11-11,11:14:20,485.1285714285714,122.55714285714286,435,429.85714285714283,4
2024-11-11,11:14:30,409.93749999999994,118.05000000000001,435,429.5,4
2024-11-11,11:14:40,395.35,102.77499999999999,435,429,3.4499999999999997
2024-11-11,11:15:00,359.5,18.483333333333334,435,429,0
2024-11-11,11:15:10,387.73333333333335,5.833333333333333,435.6666666666667,429,0
2024-11-11,11:15:20,360.09999999999997,64.4375,436,429,0.9249999999999999
2024-11-11,11:15:30,443.8333333333333,169.7444444444444,436,429,3.155555555555555
2024-11-11,11:15:40,430.7,162.6625,436,429,3.8
2024-11-11,11:15:50,474.36666666666656,154.11111111111111,436,429,4
2024-11-11,11:16:00,468.27777777777777,148.6777777777778,436,429,4
2024-11-11,11:16:10,427.24999999999994,143.95000000000002,436,429,4
2024-11-11,11:16:20,478.5571428571429,138.55714285714285,436,429,4
2024-11-11,11:16:30,393.7250000000001,134.925,436,429,4
2024-11-11,11:16:40,413.5,131.07142857142858,436,429,4
2024-11-11,11:16:50,431.91111111111115,126.94444444444444,436,429,4
2024-11-11,11:17:00,478.79999999999995,122.44999999999999,436,429,4
2024-11-11,11:17:10,471.70000000000005,118.37500000000001,436,429,4
2024-11-11,11:17:20,437.7285714285714,117.5,436,429,3.414285714285714
2024-11-11,11:17:40,419.26000000000005,23.14,436,429,0
2024-11-11,11:17:50,352.78000000000003,30.22,436,429,0
2024-11-11,11:18:00,400.9444444444445,60.6888888888889,436,429,0.8333333333333334
2024-11-11,11:18:10,390.80000000000007,167.4,436,429,2.971428571428571
2024-11-11,11:18:20,449.00000000000006,161.7125,436,429,3.7874999999999996
2024-11-11,11:18:30,453.2,153.95000000000002,436,429,4
2024-11-11,11:18:40,442.03999999999996,148.08,436,429,4
2024-11-11,11:18:50,458.4333333333333,143.38888888888889,436,429,4
2024-11-11,11:19:00,456.76250000000005,138.91250000000002,436,429,4
2024-11-11,11:19:10,449.22222222222223,134.35555555555555,436,429,3.9777777777777774
2024-11-11,11:19:20,452.25,130.3625,436,429,4
2024-11-11,11:19:30,452.7375,126.1,436,429,4
2024-11-11,11:19:40,481.3625,122.32499999999999,436,429,4
2024-11-11,11:19:50,388.95,118.525,436,429,4
2024-11-11,11:20:00,440.7875,116.77499999999998,436,429,3.9749999999999996
2024-11-11,11:20:10,484.9,118.4,436,429,0
2024-11-11,11:20:20,466.91999999999996,15.86,435.4,429,0
2024-11-11,11:20:30,390.8,90.7,435,429,0
2024-11-11,11:21:30,306.1,92.8,435,429,0.7000000000000001
2024-11-11,11:21:40,370.58888888888885,172.65555555555554,435,429,2.4111111111111114
2024-11-11,11:21:50,476.18999999999994,166.09,435,429,3.63
2024-11-11,11:22:00,454.1,157.94444444444449,435,429,3.988888888888889
2024-11-11,11:22:10,440.66999999999996,150.9,435,429,4
2024-11-11,11:22:20,434.06666666666666,145.26666666666665,435,429,4
2024-11-11,11:22:30,424.0166666666667,140.41666666666669,435,429,4
2024-11-11,11:22:40,481.0125,136.125,435,429,4
2024-11-11,11:22:50,436.2200000000001,132.38000000000002,435,429,4
2024-11-11,11:23:00,423.8333333333333,128.96666666666667,435,429,4
2024-11-11,11:23:10,484.03999999999996,124.28,435,429,3.96
2024-11-11,11:23:20,476.09999999999997,119.84444444444443,435,429,3.988888888888889
2024-11-11,11:23:30,491.2857142857143,117.32857142857144,435,429,4
2024-11-11,11:23:40,411.1,118.8,435,429,4
2024-11-11,11:23:50,448.2,6.9,435,429,0
2024-11-11,11:24:00,329.9,60.7,435,429,0
2024-11-11,11:24:10,400.3142857142857,42.65714285714286,435,429,0.4714285714285714
2024-11-11,11:24:20,356.06666666666666,155.45000000000002,435,429,2.433333333333333
2024-11-11,11:24:30,452.23749999999995,163.3125,435,429,3.5749999999999997
2024-11-11,11:24:40,441.06249999999994,154.7625,435,429,3.9875
2024-11-11,11:24:50,474.70000000000005,148.16666666666663,435,429,4
2024-11-11,11:25:00,475.9625,143.175,435,429,3.9749999999999996
2024-11-11,11:25:10,463.3375,138.7625,435,429,4
2024-11-11,11:25:20,476.025,135.3875,435,429,4
2024-11-11,11:25:30,408.25,131.10000000000002,435,429,4
2024-11-11,11:25:40,459.7125,127.4875,435,429,4
2024-11-11,11:25:50,440.8,123.72857142857141,434.7142857142857,429,4
2024-11-11,11:26:00,454.44444444444446,119.66666666666667,434.3333333333333,429,4
2024-11-11,11:26:10,472.975,116.52500000000002,434,429,3.9749999999999996
2024-11-11,11:26:20,471.26666666666665,117.36666666666667,434,429.6666666666667,3.9333333333333336
2024-11-11,11:26:30,353.54999999999995,7.2,434,430,0
2024-11-11,11:26:40,408.02500000000003,23.475,434,430,0
2024-11-11,11:26:50,408.93333333333334,21.84444444444445,434,429.77777777777777,0.19999999999999998
2024-11-11,11:27:00,410.08750000000003,134.325,434,430,1.7625000000000002
2024-11-11,11:27:10,436.40000000000003,169.85714285714286,434,430,3.542857142857143
2024-11-11,11:27:20,431.46000000000004,160.79,434,430,3.97
2024-11-11,11:27:30,456.688888888889,153.63333333333333,434,430,4
2024-11-11,11:27:40,459.48750000000007,147.875,434,430,4
2024-11-11,11:27:50,470.42857142857144,143,434,430,4
2024-11-11,11:28:00,499.70000000000005,139.20000000000002,434,430,4
2024-11-11,11:28:10,457.0375,134.92499999999998,434,430,4
2024-11-11,11:28:20,443.68888888888887,130.74444444444444,434,430,4
2024-11-11,11:28:30,475,126.61000000000001,434,430,4
2024-11-11,11:28:40,447.95000000000005,122.3625,434,430,4
2024-11-11,11:28:50,419.1166666666666,119.03333333333335,434,430,4
2024-11-11,11:29:00,455.8,118.80000000000001,434,430,3.95
2024-11-11,11:29:20,458.025,23,434,430,0
2024-11-11,11:29:30,431.48333333333335,5.1499999999999995,434,430,0.2333333333333333
2024-11-11,11:29:40,386.99,124.99000000000001,434,430,1.7600000000000002
2024-11-11,11:29:50,459.7,165.87,434,430,3.5100000000000002
2024-11-11,11:30:00,457.91999999999996,157.06,434,430,4
2024-11-11,11:30:10,436.0625,150.10000000000002,434,430,4
2024-11-11,11:30:20,448.3142857142857,144.41428571428568,434,430,4
2024-11-11,11:30:30,498.3857142857143,140.28571428571428,434,430,4
2024-11-11,11:30:40,480.16249999999997,136.22500000000002,434,430,4
2024-11-11,11:30:50,447.65,132.4375,434,430,4
2024-11-11,11:31:00,386.65714285714284,128.21428571428572,434,430,3.9857142857142853
2024-11-11,11:31:10,421.5111111111111,124.36666666666669,434,430,4
2024-11-11,11:31:20,484.90000000000003,120.17500000000001,434,430,3.9875
2024-11-11,11:31:30,445.48,116.58,434,430,4
2024-11-11,11:31:40,412.82000000000005,117.32000000000001,434,430,3.9200000000000004
2024-11-11,11:32:00,434.88,26.6,434,430,0
2024-11-11,11:32:10,394.325,20.85,434,430,0.175
2024-11-11,11:32:20,377.1333333333334,124.64999999999999,434,430,1.6833333333333336
2024-11-11,11:32:30,443.48749999999995,167.9,434,430,3.3625000000000003
2024-11-11,11:32:40,441.75714285714287,157.1,434,430,3.9714285714285715
2024-11-11,11:32:50,439.05555555555554,151.22222222222226,434,430,4
2024-11-11,11:33:00,462.4714285714286,145.32857142857142,433.85714285714283,430,4
2024-11-11,11:33:10,420.53333333333336,140.53333333333333,433.3333333333333,430,4
2024-11-11,11:33:20,460.27500000000003,136.8375,433.125,430,4
2024-11-11,11:33:30,488.4285714285715,132.9857142857143,433,430,4
2024-11-11,11:33:40,443.62000000000006,128.72999999999996,433,430,4
2024-11-11,11:33:50,482.9125,124.625,433,430,4
2024-11-11,11:34:00,498.75,120.71666666666668,433,430,4
2024-11-11,11:34:10,473.73333333333335,117.04444444444442,433,430,3.966666666666667
2024-11-11,11:34:20,454.1,116.125,433,430,3.9
2024-11-11,11:34:40,362.75,16.5,433,430,0
2024-11-11,11:34:50,417.15,64.30000000000001,433,430,0.175
2024-11-11,11:35:00,361.15000000000003,136.48333333333332,433,430,1.5833333333333333
2024-11-11,11:35:10,438.975,162.97500000000002,433,430,3.2624999999999997
2024-11-11,11:35:20,444.6125,156.1625,433,430,3.875
2024-11-11,11:35:30,457.5,149.35,433,430,4
2024-11-11,11:35:40,387.2833333333333,144.56666666666666,433,430,4
2024-11-11,11:35:50,509.1500000000001,139.01666666666665,433,430,4
2024-11-11,11:36:00,472.59999999999997,135.6111111111111,433,430,4
2024-11-11,11:36:10,450.25,131.6,433,430,4
2024-11-11,11:36:20,479.75,127.71999999999998,433,430,4
2024-11-11,11:36:30,468.55555555555554,123.89999999999999,433,430.3333333333333,4
2024-11-11,11:36:40,474.9166666666667,119.31666666666666,433,430.3333333333333,3.983333333333333
2024-11-11,11:36:50,492.31111111111113,116.11111111111111,433,430.6666666666667,3.9666666666666663
2024-11-11,11:37:00,513.4333333333334,116.43333333333332,433,431,3.966666666666667
2024-11-11,11:37:20,442,8.95,433,431,0
2024-11-11,11:37:30,375.4857142857143,6.157142857142857,433,431,0.19999999999999998
2024-11-11,11:37:40,388.7,118.56666666666666,433,431,1.7666666666666666
2024-11-11,11:37:50,344.6875,165.725,433,431,3.5000000000000004
2024-11-11,11:38:00,411.2,157.95000000000002,433,431,3.95
2024-11-11,11:38:10,475.3888888888889,150.8222222222222,433,431,4
2024-11-11,11:38:20,469.56000000000006,145.16000000000003,433,431,4
2024-11-11,11:38:30,442.5111111111112,141.32222222222222,433,431,4
2024-11-11,11:38:40,394.28749999999997,137.15,433,431,4
2024-11-11,11:38:50,424.3142857142857,132.64285714285714,433,431,4
2024-11-11,11:39:00,466.5571428571429,129.17142857142855,433,431,4
2024-11-11,11:39:10,432.4625,124.59999999999998,433,431,4
2024-11-11,11:39:20,427.37777777777774,120.46666666666667,433,431,4
2024-11-11,11:39:30,494.4333333333334,117.18333333333334,433,431,4
2024-11-11,11:39:40,366.125,117.3,433,431,3.9
2024-11-11,11:40:00,427.41999999999996,24.139999999999997,432.8,431,0
2024-11-11,11:40:10,425.71666666666664,11.25,432,431,0
2024-11-11,11:40:20,408.6714285714285,108.97142857142856,432,431,1.457142857142857
2024-11-11,11:40:30,424.9875,168.53750000000002,432,431,3.2375000000000003
2024-11-11,11:40:40,444.3333333333333,159.93333333333334,432,431,3.8777777777777778
2024-11-11,11:40:50,420.82222222222225,152.07777777777778,432,431,4
2024-11-11,11:41:00,370.25555555555553,146.44444444444443,432,431,4
2024-11-11,11:41:10,427.3444444444445,141.91111111111113,432,431,4
2024-11-11,11:41:20,458.9857142857143,137.75714285714284,432,431,4
2024-11-11,11:41:30,433.8285714285715,133.4142857142857,432,431,4
2024-11-11,11:41:40,431.8666666666666,129.52222222222224,432,431,4
2024-11-11,11:41:50,451.30000000000007,125.44285714285714,432,431,4
2024-11-11,11:42:00,473.9777777777778,121.12222222222223,432,431,4
2024-11-11,11:42:10,455.625,117.39999999999999,432,431,4
2024-11-11,11:42:20,468.05,116.56666666666666,432,431,3.9500000000000006
2024-11-11,11:42:50,387.3,18.974999999999998,432,431,0
2024-11-11,11:43:00,398.65714285714284,108.14285714285714,432,431,0.9
2024-11-11,11:43:10,379.9428571428571,168.6,432,431,2.914285714285714
2024-11-11,11:43:20,426.72499999999997,161.41250000000002,432,431,3.65
2024-11-11,11:43:30,418.8888888888889,154.53333333333333,432,431,4
2024-11-11,11:43:40,462.27777777777777,148.50000000000003,432,431,4
2024-11-11,11:43:50,456.4142857142857,143.07142857142858,432,431,4
2024-11-11,11:44:00,459.22499999999997,138.7875,432,431,4
2024-11-11,11:44:10,424.14285714285717,135.18571428571428,432,431,4
2024-11-11,11:44:20,469.65999999999997,130.46,432,431,4
2024-11-11,11:44:30,373.43333333333334,126.45,432,431,4
2024-11-11,11:44:40,413.21999999999997,122.25999999999999,432,431,4
2024-11-11,11:44:50,434.03333333333336,118.35555555555558,432,431,3.988888888888889
2024-11-11,11:45:00,424.43333333333334,117.28333333333335,432,431,3.9166666666666665
2024-11-11,11:45:20,342.025,24.1,432,431,0
2024-11-11,11:45:40,403.5571428571428,110.07142857142857,432,430,1.1142857142857143
2024-11-11,11:45:50,444.22222222222223,165.47777777777776,432,430,3.0777777777777775
2024-11-11,11:46:00,414.2285714285714,158.27142857142857,432,430,3.7428571428571424
2024-11-11,11:46:10,398.98333333333335,150.4666666666667,432,430.3333333333333,4
2024-11-11,11:46:20,455.1875,145.7,432,430,4
2024-11-11,11:46:30,471.8999999999999,141,432,430,4
2024-11-11,11:46:40,469.1375,136.9625,432,430.125,4
2024-11-11,11:46:50,473.2285714285714,132.65714285714284,432,430,4
2024-11-11,11:47:00,495.9,128.5285714285714,432,430,4
2024-11-11,11:47:10,362.65999999999997,125.34,432,430,3.9799999999999995
2024-11-11,11:47:20,435.2571428571428,121.2,432,430,4
2024-11-11,11:47:30,417.38749999999993,116.825,431.125,430,4
2024-11-11,11:47:40,468.90000000000003,116.18333333333334,431.5,430,3.9666666666666663
2024-11-11,11:48:20,346.4,56.8,431,430,0
2024-11-11,11:48:30,339.7,83.76666666666667,431,430,1.0333333333333334
2024-11-11,11:48:40,362.76666666666665,153.33333333333331,431,430,2.033333333333333
2024-11-11,11:48:50,436.01666666666665,164.65,431,430,3.2833333333333337
2024-11-11,11:49:00,418.23999999999995,157.07999999999998,431,430,3.9200000000000004
2024-11-11,11:49:10,463,149.7666666666667,431,430,4
2024-11-11,11:49:20,440.15714285714284,144.82857142857142,431,430,4
2024-11-11,11:49:30,508.0874999999999,140.10000000000002,431,430,4
2024-11-11,11:49:40,428.2875,135.5625,431,430,4
2024-11-11,11:49:50,502.8714285714286,131.78571428571428,431,430,4
2024-11-11,11:50:00,473.57500000000005,127.375,431,430,4
2024-11-11,11:50:10,430.53999999999996,124.16,431,430,4
2024-11-11,11:50:20,455.58571428571435,119.58571428571427,431,430,4
2024-11-11,11:50:30,430.16666666666663,116.16666666666667,431,430,4
2024-11-11,11:50:40,456.6333333333334,78.06666666666666,431,430,3.9333333333333336
2024-11-11,11:50:50,452.1,7.9,431,430,0
2024-11-11,11:51:00,441.6333333333334,7.066666666666667,431,430,0
2024-11-11,11:51:10,406.25714285714287,12.242857142857144,431,430,0.2857142857142857
2024-11-11,11:51:20,385.07142857142856,120.11428571428571,431,430,1.6571428571428573
2024-11-11,11:51:30,372,163.65714285714284,431,430,3.5142857142857147
2024-11-11,11:51:40,450.67499999999995,155.9,431,430,3.9499999999999997
2024-11-11,11:51:50,416,148.5,431,430,4
